,Team,Sh,SoT,Dist,FK,PK,PKatt,GF,GA,xG,xGA,Poss,KP,1/3,PPA,CrsPA,Prog,Att 3rd,Att Pen,SCA,TB,Season,Points,Points per match,PrgP,PrgC
0,Manchester City,15.526315789473685,5.552631578947368,17.257894736842104,0.5526315789473685,0.13157894736842105,0.23684210526315788,2.1842105263157894,0.8421052631578947,1.797368421052632,0.7921052631578946,63.5,11.394736842105264,46.63157894736842,10.842105263157896,1.0789473684210527,0.0,223.78947368421052,31.473684210526315,28.07894736842105,1.0,2020,86,2.263157894736842,53.973684210526315,28.842105263157894
1,Manchester United,13.552631578947368,5.157894736842105,18.11842105263158,0.5526315789473685,0.2631578947368421,0.2894736842105263,1.9210526315789473,1.1578947368421053,1.5763157894736843,1.1026315789473684,55.71052631578947,10.894736842105264,37.3421052631579,9.921052631578947,1.4210526315789473,0.0,192.71052631578948,24.236842105263158,25.07894736842105,0.8947368421052632,2020,74,1.9473684210526316,48.21052631578947,23.07894736842105
2,Liverpool,15.842105263157896,5.368421052631579,17.342105263157897,0.5789473684210527,0.15789473684210525,0.15789473684210525,1.7894736842105263,1.105263157894737,1.7815789473684207,1.1368421052631579,62.05263157894737,11.973684210526315,42.31578947368421,13.789473684210526,2.1578947368421053,0.0,216.89473684210526,31.86842105263158,28.105263157894736,1.1578947368421053,2020,69,1.8157894736842106,54.13157894736842,23.31578947368421
3,Chelsea,14.368421052631579,5.078947368421052,17.37105263157894,0.42105263157894735,0.21052631578947367,0.2631578947368421,1.5263157894736843,0.9473684210526315,1.6421052631578947,0.7973684210526316,60.89473684210526,11.789473684210526,37.921052631578945,9.921052631578947,1.8421052631578947,0.0,192.31578947368422,26.763157894736842,26.789473684210527,0.7631578947368421,2020,67,1.763157894736842,47.31578947368421,23.55263157894737
4,Leicester City,12.447368421052632,4.473684210526316,19.039473684210527,0.5263157894736842,0.2631578947368421,0.3157894736842105,1.7894736842105263,1.3157894736842106,1.4763157894736842,1.2026315789473687,54.28947368421053,9.473684210526315,31.81578947368421,7.447368421052632,1.5,0.0,149.31578947368422,20.31578947368421,22.710526315789473,0.9210526315789473,2020,66,1.736842105263158,38.526315789473685,17.526315789473685
5,West Ham United,12.210526315789474,4.157894736842105,15.810526315789476,0.4473684210526316,0.05263157894736842,0.10526315789473684,1.631578947368421,1.236842105263158,1.4552631578947366,1.2868421052631578,43.21052631578947,8.947368421052632,27.289473684210527,6.2631578947368425,2.5,0.0,133.1578947368421,20.026315789473685,21.657894736842106,0.39473684210526316,2020,65,1.7105263157894737,33.73684210526316,17.31578947368421
6,Tottenham Hotspur,11.526315789473685,4.394736842105263,18.636842105263156,0.9210526315789473,0.13157894736842105,0.13157894736842105,1.7894736842105263,1.1842105263157894,1.4026315789473685,1.2921052631578944,51.55263157894737,8.31578947368421,27.236842105263158,6.7631578947368425,1.4210526315789473,0.0,131.5,18.42105263157895,20.68421052631579,0.7368421052631579,2020,62,1.631578947368421,35.0,16.657894736842106
7,Arsenal,11.921052631578947,3.6842105263157894,17.86578947368421,0.6052631578947368,0.15789473684210525,0.15789473684210525,1.4473684210526316,1.0263157894736843,1.363157894736842,1.131578947368421,53.5,8.736842105263158,36.23684210526316,8.552631578947368,1.763157894736842,0.0,164.21052631578948,23.94736842105263,21.394736842105264,0.8947368421052632,2020,61,1.605263157894737,46.31578947368421,19.94736842105263
8,Leeds United,13.631578947368421,5.078947368421052,17.044736842105262,0.23684210526315788,0.10526315789473684,0.10526315789473684,1.631578947368421,1.4210526315789473,1.4631578947368422,1.5315789473684212,57.28947368421053,10.368421052631579,29.210526315789473,9.18421052631579,1.7894736842105263,0.0,149.8684210526316,23.157894736842106,24.31578947368421,0.7105263157894737,2020,59,1.5526315789473684,42.973684210526315,21.342105263157894
9,Everton,10.394736842105264,3.763157894736842,17.250000000000004,0.39473684210526316,0.10526315789473684,0.13157894736842105,1.236842105263158,1.263157894736842,1.2000000000000002,1.3157894736842106,46.44736842105263,7.894736842105263,24.842105263157894,6.7631578947368425,1.5789473684210527,0.0,120.65789473684211,16.92105263157895,18.68421052631579,0.7368421052631579,2020,59,1.5526315789473684,31.157894736842106,15.894736842105264
